Department Name,Department Head
Revenue,Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21)
Product,Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21)
Customer,Tami Tande (https://www.notion.so/Tami-Tande-31a0d12e7cbd807384f0c051e70037af?pvs=21)
Engineering,Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21)
Finance,Doris Zhou (https://www.notion.so/Doris-Zhou-31a0d12e7cbd80229795e8ce62aee009?pvs=21)
Operations,Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21)
Executive Office,Grant Oladipo (https://www.notion.so/Grant-Oladipo-31a0d12e7cbd804aa49af17718aa4932?pvs=21)
